AniO,MES,noMBRE,MONTO
2018,11,Ingresos Tributarios,"94,233.70"
2018,10,Ingresos Tributarios,"86,660.70"
2018,9,Ingresos Tributarios,"79,023.40"
2018,8,Ingresos Tributarios,"67,494.00"
2018,7,Ingresos Tributarios,"61,648.50"
2018,6,Ingresos Tributarios,"54,128.70"
2018,5,Ingresos Tributarios,"42,768.10"
2018,4,Ingresos Tributarios,"34,561.30"
2018,3,Ingresos Tributarios,"20,540.40"
2018,2,Ingresos Tributarios,"14,202.20"
2018,1,Ingresos Tributarios,"7,981.80"
2017,12,Ingresos Tributarios,"98,795.20"
2017,11,Ingresos Tributarios,"87,279.10"
2017,10,Ingresos Tributarios,"80,222.00"
2017,9,Ingresos Tributarios,"74,338.50"
2017,8,Ingresos Tributarios,"62,672.50"
2017,7,Ingresos Tributarios,"55,619.90"
2017,6,Ingresos Tributarios,"48,906.60"
2017,5,Ingresos Tributarios,"38,319.80"
2017,4,Ingresos Tributarios,"31,442.00"
2017,3,Ingresos Tributarios,"19,406.90"
2017,2,Ingresos Tributarios,"12,436.70"
2017,1,Ingresos Tributarios,"6,808.10"
2016,12,Ingresos Tributarios,"93,697.90"
2016,11,Ingresos Tributarios,"83,517.70"
2016,10,Ingresos Tributarios,"76,579.20"
2016,9,Ingresos Tributarios,"70,280.50"
2016,8,Ingresos Tributarios,"60,211.90"
2016,7,Ingresos Tributarios,"53,414.60"
2016,6,Ingresos Tributarios,"47,112.00"
2016,5,Ingresos Tributarios,"37,066.80"
2016,4,Ingresos Tributarios,"30,610.10"
2016,3,Ingresos Tributarios,"19,214.90"
2016,2,Ingresos Tributarios,"12,542.40"
2016,1,Ingresos Tributarios,"6,580.50"
